switches_ok,always0,always1,quantiles_v_star,quantiles_action_rate,error
1662,572,80,Inf,0.10082833257967,
1662,572,80,Inf,0.999937545753028,
1662,572,80,-4,0,1.82617784826901e-05
1662,572,80,1.22,0,-3.2419833837301e-06
1662,572,80,3.11333333333333,0.000904191356695437,-1.38590089706601e-05
1662,572,80,Inf,0.10082833257967,-1.9840290138714e-05
1662,572,80,Inf,0.999937545753028,-2.3585592645566e-05
1662,572,80,-4,0,-2.6067153376677e-05
1662,572,80,1.22,0,-2.763118721942e-05
1662,572,80,3.11333333333333,0.000904191356695437,-2.8749499087251e-05
1662,572,80,Inf,0.10082833257967,-2.9497776013666e-05
1662,572,80,Inf,0.999937545753028,-3.00018840765323e-05
1662,572,80,-4,0,-3.03665728152673e-05
1662,572,80,1.22,0,-3.06279553239454e-05
