logS,delta,sigma,v_star,action_rate,action_rate_cutoff,n_switches_a_star,switches_ok,always0,always1,n_v,dv
-3.6,1.54,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,1.6,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,1.66,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,1.72,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,1.78,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,1.84,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,1.9,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,1.96,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,2.02,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,2.08,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,2.14,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,2.2,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,2.26,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,2.32,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,2.38,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,2.44,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.6,2.5,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,0.1,1,-4,0.00507836144252075,,2,FALSE,FALSE,FALSE,1201,0.00666666666666993
-3.4,0.16,1,2.92666666666667,0.00170027059519944,0.00171307937309995,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.4,0.22,1,3.14,0.000823157365152311,0.00084473917345862,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.4,0.28,1,3.30666666666667,0.000446476175686314,0.000472065833565516,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.4,0.34,1,3.44666666666667,0.000256061417137015,0.000283774184899888,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.4,0.4,1,3.56666666666667,0.000151855881000537,0.000180775448405557,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.4,0.46,1,3.68,8.69204687803194e-05,0.00011661697681542,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
